plan_vector,condition_vector,training_class,exercise_count,exercise_names
"[0.2976456880569458, 0.5045012831687927, 0.44654473662376404, 0.54632568359375, 0.1666666716337204, 0.3333333432674408, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.0, 0.0, 0.0, 0.12851759791374207, 0.06996738165616989, 0.20284688472747803, 0.7962073087692261, 0.5232251882553101, 0.8037724494934082, 0.5852620601654053]","[0.3623620271682739, 0.4401428699493408, 0.5463987588882446, 0.0, 1.0, 0.0, 0.0, 0.16973169147968292, 1.0, 0.0, 0.0, 0.031198903918266296, 0.0, 0.0, 0.0, 0.5464704632759094, 0.5303345322608948, 0.6624217629432678, 0.5561753511428833, 0.4293213188648224, 0.9849732518196106, 0.5137017369270325, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",endurance_basic,6,cable seated crunch;barbell wrist curl v. 2;dumbbell palms in incline bench press;dumbbell reverse spider curl;kettlebell pistol squat;impossible dips
"[0.8787092566490173, 0.8425929546356201, 0.675799548625946, 0.7970442175865173, 0.25, 0.25, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10978999733924866, 0.14218741655349731, 0.11769849807024002, 0.597991406917572, 0.5226136445999146, 0.6626651883125305, 0.6943386197090149]","[0.4074269235134125, 0.3363890051841736, 0.45824581384658813, 0.0, 1.0, 0.0, 0.0, 0.17237058281898499, 1.0, 0.0, 0.0, 0.05842892825603485, 0.0, 0.0, 0.0, 0.38242799043655396, 0.5855528116226196, 0.5099021196365356, 0.7042703032493591, 0.3789886236190796, 0.9613935351371765, 0.6322634816169739, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",endurance_basic,4,barbell wrist curl v. 2;dumbbell lying single extension;barbell incline bench press;impossible dips
"[0.8404717445373535, 0.8950269818305969, 0.47978025674819946, 0.34023433923721313, 0.0, 0.5, 0.0, 0.0, 0.25, 0.25, 0.0, 0.0, 0.08708182722330093, 0.11688412725925446, 0.23318447172641754, 0.7956488728523254, 0.6373608708381653, 0.7806217074394226, 0.6914634108543396]","[0.5396896004676819, 0.4116794764995575, 0.4609227478504181, 0.0, 1.0, 0.0, 0.0, 0.06953442096710205, 0.0, 0.0, 1.0, 0.08803050220012665, 0.0, 0.0, 0.0, 0.398070752620697, 0.36031654477119446, 0.7227961421012878, 0.6276339888572693, 0.38833630084991455, 0.9693513512611389, 0.6060203909873962, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",endurance_basic,4,dumbbell over bench revers wrist curl;dumbbell one arm upright row;cable squatting curl;lever front pulldown
"[0.40694358944892883, 0.37384599447250366, 0.48261383175849915, 0.41053739190101624, 0.0, 0.20000000298023224, 0.0, 0.0, 0.20000000298023224, 0.6000000238418579, 0.0, 0.0, 0.09165099263191223, 0.13832803070545197, 0.1648690104484558, 0.5610439777374268, 0.6781489253044128, 0.9534142017364502, 0.6360661387443542]","[0.5825398564338684, 0.5378997921943665, 0.37896546721458435, 0.0, 0.0, 1.0, 1.0, 0.31957998871803284, 0.0, 0.0, 0.0, 0.31769850850105286, 0.0, 0.0, 1.0, 0.5180909037590027, 0.24759909510612488, 0.6166031956672668, 0.48140472173690796, 0.41049832105636597, 0.970702588558197, 0.3342803418636322, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",recovery,5,smith leg press;cable seated crunch;dumbbell standing concentration curl;sled 45° leg press (side pov);lever seated row
"[0.548073947429657, 0.510614812374115, 0.41393619775772095, 0.3067925274372101, 0.0, 0.4000000059604645, 0.20000000298023224, 0.0, 0.0, 0.20000000298023224, 0.20000000298023224, 0.0, 0.11095643043518066, 0.10026790201663971, 0.11029575020074844, 0.6393232345581055, 0.9541329145431519, 0.619780957698822, 0.5724474191665649]","[0.27236518263816833, 0.44737738370895386, 0.5544489622116089, 0.0, 1.0, 0.0, 0.0, 0.08974313735961914, 1.0, 0.0, 0.0, 0.16309228539466858, 0.0, 0.0, 0.0, 0.4916028678417206, 0.58138108253479, 0.47221338748931885, 0.6575397253036499, 0.31544920802116394, 0.9858931303024292, 0.636989414691925, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",endurance_basic,5,weighted hyperextension (on stability ball);smith leg press;dumbbell lying single extension;barbell standing calf raise;dumbbell reverse spider curl
"[0.35854703187942505, 0.7516209483146667, 0.3697465658187866, 0.6805358529090881, 0.1666666716337204, 0.1666666716337204, 0.3333333432674408, 0.0, 0.0, 0.1666666716337204, 0.1666666716337204, 0.0, 0.08867353200912476, 0.14367300271987915, 0.12750418484210968, 0.6705331802368164, 0.5567367672920227, 0.9623467922210693, 0.9386696815490723]","[0.29755499958992004, 0.34592124819755554, 0.777511477470398, 1.0, 1.0, 0.0, 0.0, 0.32744255661964417, 0.0, 1.0, 0.0, 0.12391884624958038, 0.0, 0.0, 0.0, 0.4043140113353729, 0.6183831691741943, 0.6312901377677917, 0.648138701915741, 0.3696977198123932, 0.9728262424468994, 0.4076257348060608, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",endurance_threshold,6,weighted side bend (on stability ball);barbell wrist curl v. 2;lever seated row;bent knee lying twist (male);dumbbell one arm hammer preacher curl;barbell standing close grip curl
"[0.7497384548187256, 0.7682917714118958, 0.5322746634483337, 0.4984472990036011, 0.20000000298023224, 0.4000000059604645, 0.20000000298023224, 0.0, 0.20000000298023224, 0.0, 0.0, 0.0, 0.14401334524154663, 0.14736638963222504, 0.15678419172763824, 0.6526819467544556, 0.7428068518638611, 0.7242120504379272, 0.997228741645813]","[0.3443067967891693, 0.3517141342163086, 0.5815132856369019, 0.0, 1.0, 0.0, 0.0, 0.09985844790935516, 0.0, 1.0, 0.0, 0.1511102318763733, 0.0, 0.0, 0.0, 0.23079197108745575, 0.4369254410266876, 0.4983663856983185, 0.8289092779159546, 0.40774938464164734, 0.9790021181106567, 0.7114381790161133, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",endurance_basic,5,cable decline fly;dumbbell standing concentration curl;dumbbell one arm upright row;bent knee lying twist (male);barbell standing close grip curl
"[0.6038327217102051, 0.644762396812439, 0.37809720635414124, 0.6985440850257874, 0.1666666716337204, 0.0, 0.1666666716337204, 0.0, 0.1666666716337204, 0.1666666716337204, 0.3333333432674408, 0.0, 0.07807723432779312, 0.05243159830570221, 0.229094460606575, 0.5885553359985352, 0.9702292680740356, 0.9769642949104309, 0.957432210445404]","[0.4118026793003082, 0.41148802638053894, 0.5792182683944702, 0.0, 1.0, 0.0, 0.0, 0.11360069364309311, 1.0, 0.0, 0.0, 0.04558703303337097, 0.0, 0.0, 0.0, 0.5272058844566345, 0.6082191467285156, 0.4520856440067291, 0.7032241821289062, 0.3556548058986664, 0.9666632413864136, 0.48595961928367615, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",endurance_basic,6,cable decline fly;weighted hyperextension (on stability ball);barbell incline bench press;bent knee lying twist (male);sled 45° leg press (side pov);weighted side bend (on stability ball)
"[0.7940688729286194, 0.3956349194049835, 0.5835644006729126, 0.6016114354133606, 0.0, 0.20000000298023224, 0.20000000298023224, 0.0, 0.4000000059604645, 0.0, 0.20000000298023224, 0.0, 0.07965101301670074, 0.09197808802127838, 0.15124139189720154, 0.8057568669319153, 0.5407971143722534, 0.5025924444198608, 0.8139472007751465]","[0.5056371688842773, 0.49060380458831787, 0.272725909948349, 0.0, 0.0, 1.0, 1.0, 0.3943564295768738, 0.0, 0.0, 0.0, 0.35035645961761475, 0.0, 0.0, 1.0, 0.6203513145446777, 0.23545214533805847, 0.5110660791397095, 0.582869291305542, 0.36702385544776917, 0.9615443348884583, 0.3335939347743988, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",recovery,5,weighted hyperextension (on stability ball);cable seated curl;dumbbell over bench revers wrist curl;cable seated crunch;barbell seated overhead triceps extension
"[0.7894161343574524, 0.43606603145599365, 0.46454155445098877, 0.6854355335235596, 0.0, 0.5, 0.0, 0.1666666716337204, 0.0, 0.1666666716337204, 0.0, 0.1666666716337204, 0.06383530795574188, 0.06327454000711441, 0.29390737414360046, 0.8572975397109985, 0.5205337405204773, 0.6994104385375977, 0.7167603969573975]","[0.4968358278274536, 0.5471301078796387, 0.24841105937957764, 0.0, 0.0, 1.0, 1.0, 0.3344271183013916, 0.0, 0.0, 0.0, 0.34752750396728516, 0.0, 0.0, 1.0, 0.6471132636070251, 0.33969175815582275, 0.6900588870048523, 0.5607324242591858, 0.3120386302471161, 0.9850590825080872, 0.3462340235710144, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",recovery,6,kettlebell pistol squat;lever front pulldown;dumbbell front raise;dumbbell reverse spider curl;assisted hanging knee raise with throw down;dumbbell one arm hammer preacher curl
